National_ID,Name,Surname,Date_of_Birth,Residential_Address,Mailing_Address,Citizenship_Status,Email,Contact_Phone,Signature
126855092,Danielle,Johnson,10/10/1985,"3658 Pine Rd, Johnberg, WV 97031","PO Box 9035, Lake Joyside, CO 11896",Citizen,danielle.johnson55@example.org,8162274257,ecce782cd4a32b88be3d6b0b9c857c3a647a64b49d1a9eda1e1c35729338214e
732719211,Brittany,Johnson,03/01/2007,"2616 First St, East Jessetown, MI 74064","PO Box 3627, Lake Debra, WI 71927",Non-Resident Citizen,brittany.johnson56@example.net,8184701711,782dc7432ed2d65aa5c26ea494f643f747f35f4c8abc76c4bc0c1eb74cef5b10
506448196,Robert,Cole,06/11/1981,"5926 Washington St, Lisatown, IL 21427","5926 Washington St, Lisatown, IL 21427",Citizen,robert.cole68@example.com,3035895554,eac54897c8d4daaac9049cbd7a35f601528c25f82a3d8ea0ba3c9be43230353b
491735568,Helen,Peterson,11/15/1975,"3433 Elm Way, East Susan, VT 44619","3433 Elm Way, East Susan, VT 44619",Citizen,helen.peterson60@yahoo.com,367.673.7216,717b53faac8e89cef548056b48e45c90aedf2136b31f6f21f4e9a7d02b968e8b
787194506,Curtis,James,01/16/1988,"5314 Main St, Melanieview, IA 06196","5314 Main St, Melanieview, IA 06196",Citizen,curtis.james54@example.org,780-935-6155,8e7fd1209015fb24fd748a2d257c1444e6ed09a7fd97c74b556a29d57bbea75b
524806516,Jessica,Herrera,01/27/1950,"7518 Pine Rd, Millerport, KY 82898","PO Box 9297, Barbaraland, OH 06507",Citizen,jessica.herrera87@gmail.com,(341) 721-9085,20cf7d84ac6734611979e68cd426cc77adcc57eed2430afe90d987e93c6e72e2
217734861,Donna,Mejia,05/23/1993,"6917 Washington St, Port Jesseville, CA 50324","6917 Washington St, Port Jesseville, CA 50324",Citizen,donna.mejia66@yahoo.com,211.896.2876,2ba0a336b1ab5a98e634d6edfea0a65d00442cad52ef8ce36bb8f0352a9b63aa
465260635,Joshua,Reid,09/27/1968,"2592 Second Ave, Franciscostad, AL 27961","2592 Second Ave, Franciscostad, AL 27961",Permanent Resident,joshua.reid82@example.org,308-840-5889,f9645c50389ff4806f682e64700309cd6f224291136092899c0c8025c2bec7c5
143365489,Elizabeth,Miles,03/01/1960,"10 Washington St, New Cynthiaside, MA 96069","10 Washington St, New Cynthiaside, MA 96069",Citizen,elizabeth.miles69@example.org,7802802403,74af94429437c6a8808ce7ed01a5bb94b13710040529d04679ad7e8b2d2ae6dc
916690353,John,Ford,06/18/1996,"2104 Second Ave, Veronicaside, OK 29286","PO Box 8745, Meganton, RI 30522",Citizen,john.ford84@hotmail.com,930.519.7537,40e95c436e08b20c16e480ea205d7e090c3c10802feae6afdf154c67d0205c81
655742829,Lydia,Trujillo,07/03/1985,"3682 Oak Ave, Adamsborough, MI 74842","PO Box 9175, Jasonfort, IA 52357",Citizen,lydia.trujillo@,(260) 434-2104,f2f37932a0d5b8be19708706ded4aa599dce1b4b3ebba05f32c804c55e24e922
176082500,Nicole,Day,10/05/1982,"7954 Cedar Dr, West Donald, OH 98148","PO Box 9455, Juliechester, OR 76985",Non-Resident Citizen,nicole.day76@example.org,8746416804,6c963e3b8f9dd9149ffe46663f32284441acc0ffa809d39e92d2f198ae229507
882839238,Reginald,Robinson,02/13/1949,"1613 Main St, New Trevor, MT 99562","1613 Main St, New Trevor, MT 99562",Citizen,reginald.robinson62@example.org,343.632.4006,83aeb89da49b2322142dfc5844f6638734405943cada8b78c4f0904ce16f3e7d
